name,order,mult
太岁,子丑寅卯辰巳午未申酉戌亥,1
太阳,丑寅卯辰巳午未申酉戌亥子,1
丧门,寅卯辰巳午未申酉戌亥子丑,1
合神,卯辰巳午未申酉戌亥子丑寅,1
官符,辰巳午未申酉戌亥子丑寅卯,1
小耗,巳午未申酉戌亥子丑寅卯辰,1
年墓,未申酉戌亥子丑寅卯辰巳午,1
白虎,申酉戌亥子丑寅卯辰巳午未,1
德神,酉戌亥子丑寅卯辰巳午未申,1
吊客,戌亥子丑寅卯辰巳午未申酉,1
病符,亥子丑寅卯辰巳午未申酉戌,1
大将军,酉酉子子子卯卯卯午午午酉,1
