name,order,mult
生气,子丑寅卯辰巳午未申酉戌亥,1
死气,午未申酉戌亥子丑寅卯辰巳,1
死神,巳午未申酉戌亥子丑寅卯辰,1
天医月厌,戌亥子丑寅卯辰巳午未申酉,1
地医,辰巳午未申酉戌亥子丑寅卯,1
飞魂天沼,亥子丑寅卯辰巳午未申酉戌,1
成神1,巳申亥寅,3
成神2,巳寅亥申,3
天马,午申戌子寅辰,2
天财,辰午申戌子寅,2
天信,酉戌亥子丑寅卯辰巳午未申,1
天鬼,酉午卯子,3
皇恩,未酉亥丑卯巳,2
天鸡,酉申未午巳辰卯寅丑子亥戌,1
血支天坑,丑寅卯辰巳午未申酉戌亥子,1
血忌,丑未寅申,3
丧魂,未辰丑戌,3
天车,巳巳巳辰辰辰未未未酉酉酉,1
贼神,卯卯卯午午午酉酉酉子子子,1
天贼,辰酉寅未子巳戌卯申丑午亥,1
天刑,寅辰午申戌子,2
天狱奸私,亥申巳寅,3
会神,未戌寅亥酉子丑午巳卯申辰,1
奸神,寅巳申亥,3
解神,申申戌戌子子寅寅辰辰午午,1
